Module,Slide_Type,Topic,Text_Content,Code_Block
01_C_Fundamentals,Module Title,บทที่ 1: โครงสร้างพื้นฐานของภาษา C,ยินดีต้อนรับสู่ค่าย Computer Boost Camp ครับ ในค่ายนี้เราจะใช้ภาษา C เป็นสื่อกลางในการเรียนรู้ลอจิกการเขียนโปรแกรมกัน,
01_C_Fundamentals,Concept,ภาษา C คืออะไร?,"ภาษา C เป็นภาษาโปรแกรมที่ทำงานได้รวดเร็วและเป็นรากฐานของภาษาใหม่ๆ มากมาย การเขียนโปรแกรมด้วยภาษา C จะต้องผ่านกระบวนการ **Compile** เพื่อแปลงโค้ดที่เราเขียนให้อยู่ในรูปที่คอมพิวเตอร์เข้าใจ (เครื่องมือยอดนิยมคือ GCC Compiler) 
อย่างไรก็ตาม เพื่อความสะดวกในการเรียนรู้ เราจะเขียนและรันโค้ดผ่าน Online Compiler ครับ
> แนะนำให้ใช้ **[Programiz C Online Compiler](https://www.programiz.com/c-programming/online-compiler/)** ควบคู่กับการอ่านเนื้อหานะครับ
---",
01_C_Fundamentals,Concept,โครงสร้างพื้นฐาน,"โครงสร้างหลักของโปรแกรมภาษา C จะมีหน้าตาดังนี้ โค้ดทุกอย่างที่เราต้องการให้คอมพิวเตอร์ทำ จะต้องอยู่ภายใน `main function` เสมอ
> **ข้อควรระวัง:** คำสั่งในภาษา C ส่วนใหญ่ต้องจบด้วยเครื่องหมายเซมิโคลอน `;` เสมอ หากลืมโปรแกรมจะเกิด Error และไม่สามารถทำงานได้
---","#include <stdio.h> // นำเข้าไลบรารีพื้นฐานสำหรับการรับและแสดงผล (Standard Input/Output)

// จุดเริ่มต้นของโปรแกรม
int main() {
    
    // เขียนโค้ดของเราตรงนี้
    
    return 0; // จบการทำงานของฟังก์ชัน main
}"
01_C_Fundamentals,Concept,การแสดงผลด้วย `printf`,เราใช้คำสั่ง `printf` (ย่อมาจาก Print Formatted) เพื่อแสดงข้อความออกทางหน้าจอ,"#include <stdio.h>

int main() {
    printf(""Hello CBC Boost Camp!\n""); // \n (Backslash n) ใช้สำหรับขึ้นบรรทัดใหม่
    
    printf(""My name is ...\n"");
    return 0;
}"
01_C_Fundamentals,Exercise,แบบฝึกหัด 1.1: ทักทายโลกกว้าง,"ให้นำโค้ดด้านบนไปรันในเว็บ Programiz แล้ว:
1. เปลี่ยนคำว่า `My name is ...` เป็นชื่อเล่นของตัวเอง
2. เพิ่มคำสั่ง `printf` เพื่อบอกสิ่งที่ชอบกินอีก 1 บรรทัด
---",
01_C_Fundamentals,Concept,การรับค่าด้วย `scanf`,เราใช้คำสั่ง `scanf` (Scan Formatted) เพื่อรับข้อมูลที่ผู้ใช้พิมพ์เข้ามา,"#include <stdio.h>

int main() {
    int age; // สร้างตัวแปรมารอรับค่าอายุ (เป็นตัวเลขจำนวนเต็ม)
    
    printf(""How old are you?: ""); 
    
    // สำหรับ scanf ต้องมี & (Ampersand) นำหน้าชื่อตัวแปร เพื่อชี้ที่อยู่ของข้อมูล
    scanf(""%d"", &age); 
    
    printf(""Wow, you are %d years old!\n"", age);
    return 0;
}"
01_C_Fundamentals,Exercise,แบบฝึกหัด 1.2: เครื่องคิดเลขคำนวณปีเกิด,"เขียนโปรแกรมถาม **ปีเกิด (ค.ศ.)** แล้วให้คอมพิวเตอร์ **คำนวณอายุ** ออกมา 
*(ใบ้ให้: สร้างตัวแปรรับปีเกิด แล้วนำ `2026 - ปีเกิด` ไปแสดงผล)*",
01_C_Fundamentals,Exercise,แบบฝึกหัด 1.3: แฟ้มประวัติส่วนตัว,"เขียนโปรแกรมถาม ""อายุ"" และ ""น้ำหนัก"" (รับเป็นตัวเลขจำนวนเต็ม) แล้วให้โปรแกรมแสดงผลสรุปออกมาพร้อมกัน 
ตัวอย่าง:","Enter your age: 15
Enter your weight: 55
You are 15 years old and your weight is 55!"
02_C_Data_Types,Module Title,บทที่ 2: ชนิดข้อมูล (Data Types) และ ตัวแปร (Variables),ตัวแปร (Variables) คือพื้นที่ในหน่วยความจำที่เราจองไว้เพื่อเก็บข้อมูล โดยเราต้องกำหนดชนิดของข้อมูลให้ถูกต้อง เพื่อให้คอมพิวเตอร์จัดสรรพื้นที่ได้อย่างเหมาะสม,
02_C_Data_Types,Concept,ชนิดข้อมูลพื้นฐานในภาษา C,"- `int` (Integer) ใช้เก็บ **จำนวนเต็ม** (เช่น 5, -10, 1000)
- `float` (Floating point) ใช้เก็บ **ตัวเลขทศนิยม** (เช่น 3.14, -0.01)
- `char` (Character) ใช้เก็บ **ตัวอักษร 1 ตัว** (ครอบด้วยเครื่องหมาย `' '` เช่น `'A'`, `'z'`)
| ชนิดข้อมูล | ขนาดหน่วยความจำ | ขอบเขตข้อมูล (โดยประมาณ) |
| --- | --- | --- |
| `int` | 4 bytes | -2,147,483,648 ถึง 2,147,483,647 |
| `float` | 4 bytes | ทศนิยมประมาณ 6-7 ตำแหน่ง |
| `char` | 1 byte | อักขระ 1 ตัว |",
02_C_Data_Types,Concept,กฎการตั้งชื่อตัวแปร,"1. ห้ามเว้นวรรค (สามารถใช้ `_` แทนได้ เช่น `my_score`)
2. ห้ามขึ้นต้นด้วยตัวเลข (เช่น `1player` จะทำให้เกิด Error ต้องใช้ `player1`)
3. ห้ามใช้คำสงวนของระบบ (เช่น `int`, `return`, `main`)
ในการใช้ `printf` แสดงค่าตัวแปร เราต้องใช้รหัสให้ตรงกับชนิดข้อมูล (Format Specifier):
- `int` ใช้ `%d`
- `float` ใช้ `%f`
- `char` ใช้ `%c`
---","#include <stdio.h>

int main() {
    int score = 100;
    float gpa = 3.99;
    char grade = 'A';

    printf(""Score: %d\n"", score);
    printf(""GPA: %.2f\n"", gpa); // %.2f หมายถึง แสดงทศนิยม 2 ตำแหน่ง
    printf(""Grade: %c\n"", grade);
    return 0;
}"
02_C_Data_Types,Concept,การคำนวณทางคณิตศาสตร์,"ภาษา C รองรับเครื่องหมายคณิตศาสตร์พื้นฐาน:
- บวก `+`
- ลบ `-`
- คูณ `*` 
- หาร `/`
- หารเอาเศษ `%` (Modulus นิยมใช้หาเลขคู่/คี่)
> **ข้อควรระวัง:** การหารเลขจำนวนเต็ม (`int` / `int`) จะ **ปัดเศษทิ้งเสมอ** เช่น `5 / 2` คอมพิวเตอร์จะตอบว่า `2` (ไม่ใช่ 2.5) ถ้าต้องการผลลัพธ์เป็นทศนิยม ต้องมีตัวใดตัวหนึ่งเป็นข้อมูลชนิด `float`
**แนวปฏิบัติที่ดี:** ในการคำนวณ เราควรนำค่าที่คำนวณได้ไปเก็บไว้ในตัวแปรใหม่ก่อน แล้วจึงนำตัวแปรใหม่ไปแสดงผล เพื่อให้โค้ดเป็นระเบียบและอ่านง่าย","#include <stdio.h>

int main() {
    int a = 10;
    int b = 3;
    
    // คำนวณแล้วเก็บผลลัพธ์ไว้ในตัวแปรใหม่
    int sum = a + b;
    int difference = a - b;
    int quotient = a / b;
    int remainder = a % b;
    
    printf(""10 + 3 = %d\n"", sum);
    printf(""10 - 3 = %d\n"", difference);
    printf(""10 / 3 = %d (การหาร int ได้ผลลัพธ์แบบปัดเศษทิ้ง)\n"", quotient);
    printf(""10 %% 3 = %d (ใช้หาเศษจากการหาร)\n"", remainder); // พิมพ์ %% เพื่อแสดงเครื่องหมาย %
    return 0;
}"
02_C_Data_Types,Exercise,แบบฝึกหัด 2.1: เครื่องคิดเลขคูณเลข,รับตัวเลข 2 ตัว (ใช้ `scanf`) จากนั้นคำนวณผลคูณ เก็บไว้ในตัวแปรใหม่ แล้วแสดงผลลัพธ์ออกมา,"Enter number 1: 5
Enter number 2: 4
Result: 20"
02_C_Data_Types,Exercise,แบบฝึกหัด 2.2: หาพื้นที่สี่เหลี่ยมผืนผ้า,รับค่า ความกว้าง (width) และ ความยาว (length) เก็บลงตัวแปรชนิดทศนิยม คำนวณหาพื้นที่ (กว้าง x ยาว) แล้วแสดงผลลัพธ์,
02_C_Data_Types,Exercise,แบบฝึกหัด 2.3: แม่ค้าทอนเงิน,สมมติว่าซื้อสินค้าชิ้นหนึ่งราคา 35 บาท และผู้ใช้จ่ายแบงค์ 100 ให้เขียนโปรแกรมคำนวณเงินทอนเก็บไว้ในตัวแปร แล้วแสดงจำนวนเงินที่ต้องทอน,
03_C_Flow_Control,Module Title,บทที่ 3: การควบคุมทิศทางโปรแกรม (Flow Control),"โดยปกติโปรแกรมจะทำงานเรียงจากบรรทัดบนลงล่าง แต่เราสามารถควบคุมทิศทางให้โปรแกรม ""เลือกตัดสินใจ"" หรือ ""ทำซ้ำ"" ได้",
03_C_Flow_Control,Concept,เงื่อนไข if - else if - else,"ใช้ในการตรวจสอบเงื่อนไข หากเงื่อนไขเป็นจริง (True) โปรแกรมจะเข้าไปทำงานในปีกกานั้น
เครื่องหมายสำหรับเปรียบเทียบ:
- `==` เท่ากับ 
- `!=` ไม่เท่ากับ
- `>` มากกว่า
- `<` น้อยกว่า
- `>=` มากกว่าหรือเท่ากับ
- `<=` น้อยกว่าหรือเท่ากับ","#include <stdio.h>

int main() {
    int money = 50;
    
    // โปรแกรมจะตรวจสอบจากบนลงล่าง หากเจอเงื่อนไขที่เป็นจริง จะทำงานแล้วจบเงื่อนไขทันที
    if (money >= 100) {
        printf(""กินชาบู\n"");
    } else if (money >= 50) {
        printf(""กินกะเพรา\n"");
    } else {
        printf(""กินมาม่า\n"");
    }
    return 0;
}"
03_C_Flow_Control,Exercise,แบบฝึกหัด 3.1: เครื่องตัดเกรด,"รับคะแนน 1 ตัว (int)
- ถ้าคะแนน >= 80 ได้เกรด A
- ถ้าคะแนน >= 70 ได้เกรด B
- ถ้าคะแนน >= 60 ได้เกรด C
- ถ้าคะแนน >= 50 ได้เกรด D
- ถ้าคะแนน < 50 ได้เกรด F
*เพิ่มเงื่อนไขพิเศษ:* ถ้ากรอกคะแนนมาเกิน 100 ให้แสดงข้อความว่า 'Cheating!'",
03_C_Flow_Control,Exercise,แบบฝึกหัด 3.2: ตรวจสอบเลขคู่/คี่,"รับตัวเลข 1 ตัว แล้วให้โปรแกรมบอกว่ามันคือ ""Even"" (เลขคู่) หรือ ""Odd"" (เลขคี่)
*(คำใบ้: เลขคู่คือเลขที่หาร 2 แล้วเหลือเศษ 0 สามารถใช้เครื่องหมาย `%` ช่วยตรวจสอบได้)*
---",
03_C_Flow_Control,Concept,การทำซ้ำ (Loops),ใช้ในการสั่งให้โปรแกรมทำงานชุดเดิมซ้ำๆ ตามเงื่อนไขที่กำหนด,
03_C_Flow_Control,Concept,While Loop (ทำซ้ำตราบเท่าที่เงื่อนไขยังเป็นจริง),เหมาะสำหรับกรณีที่เราไม่รู้จำนวนรอบที่แน่ชัด,"#include <stdio.h>

int main() {
    int i = 0; // กำหนดจุดเริ่มต้น
    
    while (i < 5) { // ตรวจสอบเงื่อนไข
        printf(""%d\n"", i);
        i++; // สำคัญ: ต้องมีการอัปเดตค่าเสมอ มิฉะนั้นลูปจะไม่จบการทำงาน (Infinity Loop)
    }
    return 0;
}"
